Month,Actual Sales,LR_Predicted,RF_Predicted,LR_Residuals,RF_Residuals
2019-12-01,62584.31,21687.732116754098,40865.16259999997,40896.577883245904,21719.14740000003
2019-12-01,336951.36,191380.2279453196,253675.20879999976,145571.13205468038,83276.15120000023
2019-12-01,144290.38,82714.81579931024,118742.22330000004,61575.56420068977,25548.156699999963
2019-12-01,322611.51,187195.58640302368,205392.1414,135415.92359697632,117219.36860000002
2019-12-01,14300.16,-2625.357145221231,9643.940800000004,16925.51714522123,4656.219199999996
2019-12-01,12680.59,-2768.3928040477986,9283.612999999998,15448.982804047799,3396.9770000000026
2019-12-01,311400.0,189692.74382818016,219079.9987,121707.25617181984,92320.0013
2019-12-01,182381.76,101425.29840600234,176883.07999999996,80956.46159399766,5498.680000000051
2019-12-01,199800.0,109609.49043368173,177744.63049999997,90190.50956631827,22055.36950000003
2019-12-01,429000.0,270865.2807256145,402856.6606,158134.71927438548,26143.339399999997
2019-12-01,51600.0,22740.71367555137,35073.71929999999,28859.28632444863,16526.28070000001
2019-12-01,48000.0,17276.154662251305,35279.485599999985,30723.845337748695,12720.514400000015
2019-12-01,46150.65,17294.455145085165,33983.93899999999,28856.194854914836,12166.71100000001
2019-12-01,1093100.0,687324.9697983725,722736.0,405775.0302016275,370364.0
2019-12-01,538994.61,343239.77149362804,409196.17,195754.83850637195,129798.44
2019-12-01,38837.5,11262.253592047924,32499.02039999997,27575.246407952076,6338.4796000000315
2019-12-01,113600.0,55671.80945144733,80031.29169999999,57928.19054855267,33568.70830000001
2019-12-01,32960.51,7810.949149734803,30085.347399999973,25149.5608502652,2875.1626000000288
2019-12-01,634200.0,415470.1210472658,517760.7382,218729.87895273417,116439.26179999998
